,CoinName,0,1,class
378,BiblePay,4.336808,-5.040421,2
379,LitecoinCash,5.800653,-5.411655,2
380,BitFlip,5.577584,-7.3431263,2
381,LottoCoin,2.3758593,-11.188261,2
384,Poa Network,6.9921727,-60.787262,2
389,Callisto Network,-2.2981658,-17.81745,2
390,BitTube,18.811127,-12.560353,2
391,Poseidon,7.1436095,-6.7201056,2
392,Aidos Kuneen,6.949742,-9.320646,2
396,Bitrolium,4.9263988,-19.528187,2
398,Alpenschillling,5.1694393,-12.833261,2
406,Monero Classic,18.222216,-12.975843,2
407,Proton,0.6217981,1.7176243,2
410,Infinex,1.8142854,-14.498082,2
412,KEYCO,8.025114,-8.986418,2
414,GINcoin,5.16944,-12.8332615,2
415,PlatinCoin,18.66239,-13.168022,2
416,Loki,-1.6919096,-4.45518,2
417,Newton Coin,18.01525,-12.083845,2
420,MassGrid,9.103285,-7.5358067,2
422,PluraCoin,18.505136,-13.195424,2
425,Lynx,1.78185,-2.9392364,2
429,Motion,0.60857236,1.687743,2
430,PlusOneCoin,8.957312,-8.207628,2
432,Trivechain,0.57172436,1.7571359,2
436,Absolute Coin,-2.6934474,-0.6147738,2
438,HexCoin,7.063868,-6.600851,2
440,Webchain,-4.7306485,-12.922188,2
441,Ryo,10.195321,-6.5294013,2
443,Qwertycoin,-1.6879778,-4.453293,2
453,Kcash,5.7786975,1.722705,2
454,Xchange,0.6085722,1.6877435,2
456,CrypticCoin,4.925403,-19.526522,2
458,Actinium,5.16944,-12.833261,2
462,FREDEnergy,18.64879,-12.492231,2
464,Universal Molecule,-3.7498672,-6.856919,2
465,Lithium,-3.7498674,-6.8569183,2
466,PirateCash,5.4033585,-19.98725,2
467,Exosis,8.025114,-8.986418,2
468,Block-Logic,2.2973232,-7.2528048,2
470,Beam,4.926372,-19.52815,2
472,Bithereum,4.9264083,-19.528254,2
487,SolarCoin,3.1207983,-10.158842,2
491,BlakeCoin,-3.7499583,-6.8568835,2
496,Crypto Escudo,-0.31804875,-9.631401,2
502,SmileyCoin,3.1085825,-10.168866,2
508,Bata,7.736074,-7.4045215,2
509,Pakcoin,0.807618,-6.993485,2
516,JoinCoin,9.849563,-14.78526,2
518,Vollar,6.7964935,-5.0490875,2
520,Reality Clash,-2.2984343,-17.817541,2
523,Waves,6.7964935,-5.0490875,2
525,BitTorrent,16.811985,-10.572731,2
529,Beldex,18.76714,-12.531585,2
530,Horizen,4.9264092,-19.528255,2
