,CoinName,0,1,class
3,Bitcoin,27.642963,4.6809654,0
12,BitcoinDark,28.804415,8.197302,0
13,PayCoin,25.333097,7.810581,0
22,ZetaCoin,26.367857,4.947922,0
37,DevCoin,26.146418,4.3327675,0
42,Exclusive Coin,11.534693,12.372573,0
53,IXcoin,27.163422,5.2708874,0
60,MintCoin,6.379562,6.974028,0
62,MazaCoin,28.22224,7.986148,0
63,Nautilus Coin,5.988571,7.7159557,0
66,Namecoin,27.286438,4.146993,0
78,SysCoin,26.789406,4.6465845,0
80,TigerCoin,26.377253,4.978598,0
83,TerraCoin,26.805235,5.3123837,0
84,UnbreakableCoin,26.805483,4.0986724,0
85,Unobtanium,26.815027,4.095566,0
95,JouleCoin,26.611467,5.2357693,0
101,StorjCoin,4.490573,7.6287956,0
103,Neutron,28.114891,8.383613,0
106,RubyCoin,6.0170617,7.753984,0
110,Dnotes,5.9904976,7.2534685,0
124,SoonCoin,27.542608,4.426733,0
130,Anarchists Prime,27.172441,5.2662873,0
136,Diggits,6.815754,7.4146366,0
140,Emercoin,28.533216,7.878371,0
143,I0coin,27.542408,4.9624085,0
147,EDRCoin,28.737675,8.441761,0
150,DubaiCoin,28.525484,8.566566,0
151,CarpeDiemCoin,26.082666,4.3547134,0
154,GPU Coin,6.8157945,7.4017444,0
160,ZeitCoin,6.4416075,6.3368645,0
161,SwingCoin,28.44901,8.581122,0
163,Nebuchadnezzar,11.431305,11.896161,0
167,Revenu,28.731348,7.991461,0
168,Clockcoin,28.471844,7.880664,0
172,Let it Ride,11.399916,6.498959,0
183,BitTokens,28.712145,7.9684763,0
184,ZayedCoin,27.393742,4.190817,0
190,BitCurrency,6.694752,7.8064117,0
191,DollarCoin,27.121778,4.0677166,0
195,Opair,10.892061,12.436961,0
199,CoffeeCoin,11.020572,11.891149,0
202,TeamUP,10.887088,12.023242,0
206,ARK,11.080766,-0.0015604495,0
212,FreeCoin,11.192928,12.579345,0
216,Creatio,10.825685,12.181045,0
218,Eurocoin,28.264063,8.55622,0
226,PandaCoin,6.438379,6.690909,0
235,Internet of People,28.778738,8.386817,0
241,Zilbercoin,6.340015,7.9247313,0
250,RenosCoin,6.675745,7.8212156,0
256,Atmos,11.072637,11.8579235,0
259,MacronCoin,10.819414,12.288414,0
264,ProCurrency,25.315023,7.8030076,0
267,GrowthCoin,6.0123835,7.2194858,0
268,ILCoin,26.64753,4.206849,0
269,Phreak,11.490421,12.43562,0
272,Ultimate Secure Cash,25.333082,7.810559,0
274,QTUM,11.399917,6.498959,0
296,Signatum,5.1561456,8.888881,0
299,Bitcoin Cash,27.572514,4.530361,0
301,Draftcoin,5.920726,7.409497,0
304,Stakecoin,11.500386,11.9365635,0
314,Cardano,7.108605,5.700983,0
324,Theresa May Coin,28.11021,8.2223425,0
331,KekCoin,6.7336307,9.2424965,0
333,Infinity Economics,25.330172,7.809033,0
339,Lamden Tau,11.08075,-0.0016252567,0
365,UnitedBitcoin,27.404978,5.130732,0
367,TokenPay,11.399914,6.498959,0
387,Velox,6.683875,7.815899,0
388,Ontology,4.922808,6.2580595,0
397,MedicCoin,6.791446,7.3075733,0
399,Bitcoin Green,8.129626,7.6838517,0
400,Deviant Coin,11.084886,12.567529,0
402,Semux,23.814072,3.1993363,0
405,Zealium,11.590738,12.147182,0
413,HollyWoodCoin,6.3417478,7.924692,0
419,Xt3ch,5.9205036,7.4111958,0
427,BitcoinWSpectrum,25.333088,7.810569,0
428,Muse,11.156272,0.30636466,0
435,Peony Coin,6.206252,7.077936,0
446,MMOCoin,6.8035307,7.33744,0
447,Ketan,11.088247,12.568327,0
448,Project Pai,26.551542,4.502503,0
455,Acute Angle Cloud,54.239372,-31.560818,0
459,Bitcoin SV,27.542944,4.9624553,0
481,BLAST,26.374193,4.967434,0
483,GlobalToken,26.996489,4.6859345,0
485,ALAX,11.0807085,-0.0018101741,0
493,NeosCoin,25.3331,7.8105793,0
498,IncaKoin,28.128336,7.946563,0
500,Crown Coin,26.779455,5.3092203,0
507,Radium,11.255028,11.828342,0
511,OKCash,28.12153,8.405,0
512,Lisk,11.080766,-0.0015652216,0
513,HiCoin,6.586006,7.0452924,0
519,EOS,11.080725,-0.0017392882,0
521,Oxycoin,11.08072,-0.0017603745,0
522,TigerCash,25.332909,7.810459,0
524,Particl,11.579119,12.258694,0
526,Nxt,11.853957,13.449683,0
527,ZEPHYR,24.280342,3.469588,0
531,BitcoinPlus,6.1116004,7.8409843,0
