,CoinName,0,1,class
6,Dash,-21.183384,-5.5873084,3
16,Spreadcoin,-13.338694,-12.383631,3
33,CryptCoin,-12.762585,-12.314961,3
45,FeatherCoin,-7.5970864,-2.3701148,3
50,HyperStake,-15.374204,-6.5103207,3
52,IOCoin,-21.175165,-5.3601627,3
69,Orbitcoin,-7.911996,-2.0244617,3
76,SuperCoin,-15.374277,-6.5104003,3
77,SyncCoin,-21.946148,-6.499367,3
82,TorCoin,-22.304487,-6.411034,3
86,UroCoin,-12.765393,-12.527274,3
93,X11 Coin,-21.187117,-5.952072,3
116,Ucoin,-15.374278,-6.5104046,3
118,CypherPunkCoin,-7.3322425,-8.015909,3
126,IslaCoin,-21.987957,-6.495536,3
128,MarsCoin ,-12.951402,-12.065468,3
132,BowsCoin,-12.905962,-12.032844,3
133,Squall Coin,-18.451366,-9.325727,3
142,MindCoin,-12.890189,-12.039189,3
148,Hitcoin,-23.77904,-3.9550776,3
155,Adzcoin,-13.760766,-12.964006,3
159,EuropeCoin,-22.464529,-4.7650366,3
165,BolivarCoin,-13.233478,-12.9885235,3
166,Ratecoin,-21.629383,-4.8160205,3
170,BitSend,-22.571728,-5.3103223,3
177,PizzaCoin,-13.447971,-12.443777,3
178,Lutetium Coin,-15.374165,-6.510398,3
180,GoldBlocks,-22.729153,-5.719877,3
185,MustangCoin,-21.539274,-6.392053,3
197,Halloween Coin,-23.132818,-3.5450726,3
207,InsaneCoin,-21.937225,-5.8089805,3
209,ArtexCoin,-13.347139,-11.654005,3
211,XenixCoin,-21.494137,-6.3304124,3
215,Kurrent,-13.960273,-11.870064,3
217,Eternity,-22.730116,-5.762286,3
220,Stakenet,-12.31069,-13.663176,3
223,Enigma,-21.29735,-6.171593,3
230,LiteCreed,-7.382433,-7.985523,3
236,KushCoin,-21.82837,-6.059297,3
238,PacCoin,-14.50054,-12.92081,3
245,VaultCoin,-14.124328,-12.440376,3
252,VirtacoinPlus,-21.901188,-5.4349766,3
254,Impact,-22.004946,-4.921612,3
257,HappyCoin,-21.585169,-5.250852,3
260,Condensate,-22.115452,-4.100879,3
265,GoldReserve,-22.69589,-5.8635793,3
282,DigitalPrice,-14.132392,-12.250872,3
288,ArcticCoin,-13.730338,-12.956005,3
289,DAS,-12.866142,-12.654342,3
295,SmartCash,-13.239639,1.039482,3
297,Onix,-14.117028,-12.440385,3
300,Monoeci,-21.19191,-5.7637362,3
315,Regalcoin,-22.54114,-6.2104716,3
317,TrezarCoin,-7.911982,-2.0244753,3
318,Elements,-13.3757,-11.660752,3
320,VIVO Coin,-7.597027,-2.3700538,3
334,Pura,-13.542856,-11.69849,3
335,Innova,-7.597058,-2.370024,3
337,GoByte,-7.597059,-2.370023,3
338,Magnet,-22.530252,-5.236023,3
349,AC3,-13.938936,-11.878154,3
354,PhantomX,-22.007984,-5.4642816,3
356,Sucre,-12.9141655,-12.743583,3
357,SparksPay,-7.5970597,-2.3700225,3
359,GunCoin,-7.597061,-2.3700752,3
363,Monkey Project,-15.374278,-6.5104046,3
364,Pioneer Coin,-13.472232,-13.054676,3
382,Crypto Improvement Fund,-13.72551,-11.749135,3
385,Pushi,-22.444181,-6.2783146,3
403,FuturoCoin,-14.104298,-12.129973,3
411,Bitcoin Incognito,-18.447947,-9.328099,3
431,Axe,-13.231381,-12.991296,3
444,ARENON,-15.374272,-6.510404,3
445,EUNO,-22.130308,-5.620318,3
449,XDNA,-13.2636795,1.0832064,3
450,PAXEX,-15.3742695,-6.510408,3
451,Azart,-13.579656,-12.767825,3
461,Junson Ming Chan Coin,-15.373023,-6.5096793,3
475,SLICE,-7.332245,-8.015908,3
476,Dash Platinum,-15.374279,-6.510405,3
480,Award,-22.407276,-4.657055,3
484,Insane Coin,-21.224464,-5.287704,3
488,TruckCoin,-21.677555,-4.5872655,3
489,UFO Coin,-7.597177,-2.3702998,3
495,PinkCoin,-22.598785,-3.5377514,3
499,Piggy Coin,-23.055477,-3.5129817,3
505,CapriCoin,-21.988548,-4.370093,3
510,Creditbit ,-12.31069,-13.663176,3
515,FriendshipCoin,-7.9119945,-2.024463,3
