,CoinName,0,1,class
0,42 Coin,-10.008489,15.90717,1
1,404Coin,-14.057888,9.632856,1
2,EliteCoin,-13.546969,24.601246,1
15,KoboCoin,-19.59354,13.215008,1
18,Aurora Coin,-11.865802,14.640156,1
19,BlueCoin,-15.4036455,10.220442,1
25,EnergyCoin,-15.506391,13.684879,1
26,QuarkCoin,-0.6699447,16.987503,1
27,Riecoin,-10.134107,4.1699433,1
29,BitBar,-9.97732,15.69577,1
31,CryptoBullion,-10.136752,15.847171,1
35,Diamond,-10.180538,4.2482643,1
49,HoboNickels,-15.541157,13.010502,1
57,MaxCoin,-8.638984,16.275242,1
64,NavCoin,-13.0249815,25.133799,1
68,OpalCoin,-12.738326,24.89705,1
70,PotCoin,-15.584129,10.822373,1
71,PhoenixCoin,-15.362856,13.418716,1
72,Reddcoin,-10.920125,10.591357,1
81,TittieCoin,-7.6099463,12.505677,1
87,UnitaryStatus Dollar,-13.645304,9.7179575,1
88,UltraCoin,-15.04122,13.745015,1
96,StealthCoin,-12.742748,24.899178,1
97,ZCC Coin,-15.119751,10.1184,1
104,FairCoin,-10.180511,4.2482615,1
108,Kore,-12.737995,24.896896,1
112,8BIT Coin,-10.053009,15.412497,1
113,Sativa Coin,-12.738246,24.897018,1
120,Vtorrent,-11.846244,15.451144,1
127,Nexus,-8.158882,16.398188,1
131,Droidz,-10.868991,17.407385,1
138,Paycon,-13.024956,25.133825,1
141,EverGreenCoin,-19.593437,13.215007,1
144,Decred,-5.870718,3.6310637,1
152,PWR Coin,-20.906487,7.8470573,1
153,BillaryCoin,-12.584224,15.063343,1
169,VIP Tokens,-20.906994,7.8465495,1
173,PutinCoin,-13.653384,9.715753,1
174,iBankCoin,-12.473233,15.301839,1
175,Frankywillcoin,-15.570818,13.045586,1
176,MudraCoin,-12.266849,25.791649,1
181,CarterCoin,-14.800524,13.965414,1
186,ZoneCoin,-11.34501,15.846488,1
188,RootCoin,-10.316038,16.12685,1
194,BuzzCoin,-15.755104,18.233307,1
196,PesoBit,-12.180161,14.383804,1
200,RoyalCoin,-12.2670965,25.791737,1
201,GanjaCoin V2,-9.197011,15.185154,1
203,LanaCoin,-15.7551,18.233297,1
210,EmberCoin,-13.245747,24.862535,1
213,PLNCoin,-12.762758,14.677814,1
214,AquariusCoin,-12.261722,15.49356,1
219,BitcoinFast,-12.702162,14.586729,1
221,BitConnect Coin,-12.034575,14.987051,1
222,MoneyCoin,-15.662123,11.105076,1
225,Russiacoin,-14.663145,13.823525,1
227,GameUnits,-10.821628,15.182491,1
228,GAKHcoin,-10.358575,15.252158,1
229,Allsafe,-0.43610358,16.445637,1
234,Klingon Empire Darsek,-15.708498,11.506101,1
237,Printerium,-11.639724,15.059938,1
239,Impeach,-11.301032,16.034111,1
244,FindCoin,-12.266801,25.791662,1
247,OpenChat,-13.875244,9.645741,1
253,TajCoin,-9.765626,17.031923,1
258,Coinonat,-21.156929,7.52734,1
261,Independent Money System,-11.298422,15.174699,1
262,ArgusCoin,-11.646156,15.784048,1
263,LomoCoin,-15.338584,10.369695,1
270,Degas Coin,-14.494817,14.072991,1
271,HTML5 Coin,-19.593317,13.2149515,1
276,Espers,-11.590153,9.294221,1
281,Denarius,-20.906878,7.8466578,1
283,Virta Unique Coin,-20.906996,7.846547,1
284,Bitcoin Planet,-17.620375,15.720138,1
286,BritCoin,-12.742656,24.899515,1
290,Linda,-10.789138,10.40013,1
292,DeepOnion,-12.742932,24.899288,1
298,Cream,-17.620392,15.720125,1
310,CoinonatX,-13.210119,14.617909,1
311,Ethereum Dark,-10.687199,15.936491,1
319,TerraNovaCoin,-10.897452,15.5543,1
323,WomenCoin,-10.560253,9.821963,1
325,NamoCoin,-20.906975,7.846548,1
326,LUXCoin,-7.6401477,12.501184,1
328,Xios,-11.341225,15.916035,1
329,Bitcloud 2.0,-1.148869,16.764145,1
332,BlackholeCoin,-11.614114,14.790054,1
340,Electra,-20.902088,7.8511,1
341,Bitcoin Diamond,-13.025554,25.133398,1
343,Cash & Back Coin,-15.651863,12.267231,1
347,Bulwark,-21.222841,7.683763,1
348,Kalkulus,-0.43610346,16.445637,1
351,GermanCoin,-10.81917,10.450801,1
352,LiteCoin Ultra,-14.71219,13.766182,1
355,Photon,-5.8313875,3.5825434,1
358,Digiwage,-0.4361018,16.445644,1
361,Trollcoin,-14.38561,9.721775,1
362,Litecoin Plus,-10.329154,15.255613,1
366,Interzone,-14.5549555,4.623088,1
372,Unified Society USDEX,-15.700437,11.264485,1
377,Tokyo Coin,-12.267207,25.791767,1
383,Stipend,-14.5667095,4.6774864,1
386,Ellerium,-6.043872,8.256636,1
393,Bitspace,-20.906996,7.846547,1
394,Briacoin,-10.460512,16.18403,1
395,Ignition,-10.599123,16.163412,1
401,Abjcoin,-12.188497,15.304391,1
404,Carebit,-1.1488695,16.764145,1
408,iDealCash,-13.003306,10.299779,1
409,Jumpcoin,-21.156927,7.5273423,1
418,Swisscoin,-12.029908,10.887417,1
421,TheVig,-15.755113,18.233316,1
423,EmaratCoin,-14.138632,14.231478,1
424,Dekado,-19.602728,13.215319,1
426,Poseidon Quark,-0.4360917,16.445686,1
433,Dystem,-0.4361037,16.445637,1
434,Giant,-1.1488708,16.76414,1
437,Vitae,-0.43610147,16.445642,1
439,TPCash,-15.332087,10.356893,1
442,Urals Coin,-5.9729958,8.193125,1
452,ThunderStake,-12.2225895,10.853591,1
457,Bettex coin,-5.9541698,8.200231,1
460,BitMoney,-6.2755213,8.545289,1
463,HerbCoin,-1.1488688,16.764141,1
469,Oduwa,-11.81893,14.701566,1
471,Galilel,-1.1488682,16.76414,1
473,Crypto Sports,-0.4361037,16.445637,1
474,Credit,-10.607982,9.716031,1
477,Nasdacoin,-14.101489,14.237406,1
478,Beetle Coin,-6.0438795,8.256644,1
479,Titan Coin,-15.755069,18.233297,1
482,Bitcoin Rhodium,-12.974355,25.773495,1
486,LiteDoge,-10.807207,10.458877,1
490,OrangeCoin,-14.987649,13.320495,1
492,BitstarCoin,-13.390082,14.4758415,1
494,HyperCoin,-10.607221,15.172546,1
497,AudioCoin,-12.64976,10.604449,1
501,Genstake,-14.014161,14.430807,1
503,XiaoMiCoin,-15.334356,10.278506,1
504,Groestlcoin,-10.1340685,4.1699433,1
506, ClubCoin,-15.641506,12.597051,1
514,WhiteCoin,-15.648472,10.994416,1
517,Triangles Coin,-12.737343,24.896572,1
528,Gapcoin,-15.360641,12.826132,1
